"id","product_id","created_at","pack","asin","fin_model_name","image_url","rating","pack_master","product_master"
1,1,"2024-01-14 20:19:21.308963","Microneedling Pen","B0CDNRQHNF","Microneedling Pen",NULL,NULL,True,True
2,1,"2024-01-14 20:19:21.331687","Microneedling Pen","B0CFD9RXWW","Microneedling Pen",NULL,NULL,False,False
3,2,"2024-01-14 20:19:21.344659","Hand Masks - 1 pack","B0CDCCLZ88","Hand Mask 1 pack",NULL,NULL,True,True
4,2,"2024-01-14 20:19:21.350576","Hand Masks - 1 pack","B0CF5PF6SR","Hand Mask 1 pack",NULL,NULL,False,False
5,2,"2024-01-14 20:19:21.357963","Hand Masks - 1 pack","B0CF5T63MQ","Hand Mask 1 pack",NULL,NULL,False,False
6,2,"2024-01-14 20:19:21.365106","Hand Masks - 1 pack","B08GYQFJ2F","Hand Mask 1 pack",NULL,NULL,False,False
7,2,"2024-01-14 20:19:21.373146","Hand Masks - 1 pack","B07JQLJS9M","Hand Mask 1 pack",NULL,NULL,False,False
8,2,"2024-01-14 20:19:21.380412","Hand Masks - 1 pack","B0CF5XMSZP","Hand Mask 1 pack",NULL,NULL,False,False
9,2,"2024-01-14 20:19:21.384992","Hand Masks - 1 pack","B09YJ7KGRV","Hand Mask 1 pack",NULL,NULL,False,False
10,2,"2024-01-14 20:19:21.390503","Hand Masks - 1 pack","B07MGW8VWT","Hand Mask 1 pack",NULL,NULL,False,False
11,2,"2024-01-14 20:19:21.395338","Hand Masks - 1 pack","B0CF5VYVVZ","Hand Mask 1 pack",NULL,NULL,False,False
12,2,"2024-01-14 20:19:21.400661","Hand Masks - 1 pack","B0CF5YQPPY","Hand Mask 1 pack",NULL,NULL,False,False
13,2,"2024-01-14 20:19:21.405444","Hand Masks - 6 pack","B0CF5XX53L","Hand Masks - 6 pack",NULL,NULL,True,False
14,2,"2024-01-14 20:19:21.411473","Hand Masks - 6 pack","B0CDCCGS46","Hand Masks - 6 pack",NULL,NULL,False,False
15,2,"2024-01-14 20:19:21.417529","Hand Masks - 12 pack","B0CDCBZMFC","Hand Masks - 12 pack",NULL,NULL,True,False
16,2,"2024-01-14 20:19:21.425585","Hand Masks - 12 pack","B08JXJNQTD","Hand Masks - 12 pack",NULL,NULL,False,False
17,2,"2024-01-14 20:19:21.430159","Hand Masks - 24 pack","B08JX79PNX","Hand Masks - 24 pack",NULL,NULL,True,False
18,3,"2024-01-14 20:19:21.437912","Foot Mask - 1 pack","B07JR87WV8","Foot Mask - 1 pack",NULL,NULL,True,True
19,3,"2024-01-14 20:19:21.442647","Foot Mask - 1 pack","B07MGW7J3P","Foot Mask - 1 pack",NULL,NULL,False,False
20,3,"2024-01-14 20:19:21.447398","Foot Mask - 1 pack","B07MGW7PMW","Foot Mask - 1 pack",NULL,NULL,False,False
21,3,"2024-01-14 20:19:21.452082","Foot Mask - 2 pack","B07JQ3MY9C","Foot Mask - 2 pack",NULL,NULL,True,False
