event_id,date,amount,variant_id,created_at,number_of_items,uniq_number,version
6,2023-11-01 00:00:00,0,189,2024-01-09 13:58:07.460119,0,189 - Ноябрь 2023,1
6,2023-12-01 00:00:00,6275,189,2024-01-09 13:58:07.460119,317,189 - Декабрь 2023,1
6,2024-01-01 00:00:00,10073,189,2024-01-09 13:58:07.460119,507,189 - Январь 2024,1
6,2024-02-01 00:00:00,16670,189,2024-01-09 13:58:07.460119,837,189 - Февраль 2024,1
6,2024-03-01 00:00:00,19728,189,2024-01-09 13:58:07.460119,990,189 - Март 2024,1
6,2024-04-01 00:00:00,22007,189,2024-01-09 13:58:07.460119,1104,189 - Апрель 2024,1
6,2024-05-01 00:00:00,22007,189,2024-01-09 13:58:07.460119,1104,189 - Май 2024,1
6,2024-06-01 00:00:00,22007,189,2024-01-09 13:58:07.460119,1104,189 - Июнь 2024,1
6,2024-07-01 00:00:00,19128,189,2024-01-09 13:58:07.460119,960,189 - Июль 2024,1
6,2024-08-01 00:00:00,31922,189,2024-01-09 13:58:07.460119,1600,189 - Август 2024,1
6,2024-09-01 00:00:00,31922,189,2024-01-09 13:58:07.460119,1600,189 - Сентябрь 2024,1
6,2024-10-01 00:00:00,31922,189,2024-01-09 13:58:07.460119,1600,189 - Октябрь 2024,1
6,2024-11-01 00:00:00,47914,189,2024-01-09 13:58:07.460119,2400,189 - Ноябрь 2024,1
6,2024-12-01 00:00:00,63906,189,2024-01-09 13:58:07.460119,3200,189 - Декабрь 2024,1
6,2025-01-01 00:00:00,12732,189,2024-01-09 13:58:07.460119,640,189 - Январь 2025,1
6,2025-02-01 00:00:00,12732,189,2024-01-09 13:58:07.460119,640,189 - Февраль 2025,1
6,2025-03-01 00:00:00,19128,189,2024-01-09 13:58:07.460119,960,189 - Март 2025,1
6,2025-04-01 00:00:00,15930,189,2024-01-09 13:58:07.460119,800,189 - Апрель 2025,1
6,2025-05-01 00:00:00,15930,189,2024-01-09 13:58:07.460119,800,189 - Май 2025,1
6,2025-06-01 00:00:00,15930,189,2024-01-09 13:58:07.460119,800,189 - Июнь 2025,1
6,2025-07-01 00:00:00,27524,189,2024-01-09 13:58:07.460119,1380,189 - Июль 2025,1
6,2025-08-01 00:00:00,45915,189,2024-01-09 13:58:07.460119,2300,189 - Август 2025,1
6,2025-09-01 00:00:00,45915,189,2024-01-09 13:58:07.460119,2300,189 - Сентябрь 2025,1
6,2025-10-01 00:00:00,45915,189,2024-01-09 13:58:07.460119,2300,189 - Октябрь 2025,1
6,2025-11-01 00:00:00,68904,189,2024-01-09 13:58:07.460119,3450,189 - Ноябрь 2025,1
6,2025-12-01 00:00:00,91892,189,2024-01-09 13:58:07.460119,4600,189 - Декабрь 2025,1
6,2026-01-01 00:00:00,18329,189,2024-01-09 13:58:07.460119,920,189 - Январь 2026,1
